character1,character2,url,total_interactions
ALVINA OF THE DARKROOT WOOD,SHIVA OF THE EAST,http://darksouls.wikidot.com/alvina,3
ANASTACIA OF ASTORA,KINGSEEKER FRAMPT,http://darksouls.wikidot.com/anastacia-of-astora,3
CRESTFALLEN WARRIOR,BIG HAT LOGAN,http://darksouls.wikidot.com/crestfallen-warrior,5
DUSK OF OOLACILE,ELIZABETH,http://darksouls.wikidot.com/dusk-of-oolacile,8
"GWYNEVERE, PRINCESS OF SUNLIGHT",KINGSEEKER FRAMPT,http://darksouls.wikidot.com/gwynevere,4
LAUTREC OF CARIM,PATCHES,http://darksouls.wikidot.com/knight-lautrec-of-carim,10
OSWALD OF CARIM,PETRUS OF THOROLUND,http://darksouls.wikidot.com/oswald-of-carim,2
RHEA OF THOROLUND,PATCHES,http://darksouls.wikidot.com/rhea-of-thorolund,18
